,subject,trial,rt,choice,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2,n_items,dataset
8845,83,83,7981.0,2.0,5.05,5.5,3.7,0.31488801054018445,0.34749670619235834,0.3376152832674572,3,folke2016
8847,83,85,3473.0,1.0,5.65,7.4499999999999975,3.7,0.17796030116358658,0.6173853524982889,0.20465434633812452,3,folke2016
8849,83,87,3605.0,1.0,7.0,8.5,3.55,0.3665480427046263,0.4445163377547719,0.18893561954060176,3,folke2016
8851,83,89,8795.0,2.0,6.4,4.0,8.2,0.28025693035835025,0.40297498309668695,0.3167680865449628,3,folke2016
8853,83,91,2738.0,0.0,9.25,6.6999999999999975,4.0,0.4566744730679157,0.21451990632318504,0.3288056206088993,3,folke2016
8855,83,93,11096.0,1.0,4.0,4.6,4.0,0.11778452909558307,0.7127833605982706,0.1694321103061463,3,folke2016
8857,83,95,8080.0,0.0,9.1,5.5,3.7,0.5026767583533321,0.1975263060734724,0.2997969355731955,3,folke2016
8859,83,97,8915.0,1.0,5.65,6.5500000000000025,9.25,0.15368761960842042,0.41528043574267626,0.4310319446489033,3,folke2016
8861,83,99,4679.0,2.0,6.6999999999999975,4.0,9.25,0.2338709677419355,0.3333333333333333,0.4327956989247312,3,folke2016
8863,83,101,8095.0,2.0,7.4499999999999975,5.5,8.5,0.2999301187980433,0.33515024458420684,0.3649196366177497,3,folke2016
8865,83,103,9193.0,0.0,5.05,5.65,2.5,0.5039911918524635,0.2075419763281035,0.288466831819433,3,folke2016
8867,83,105,11826.0,1.0,4.0,4.449999999999998,7.0,0.3282848956201392,0.3943921408104789,0.2773229635693819,3,folke2016
8869,83,107,5780.0,0.0,5.5,4.6,4.449999999999998,0.4531512101605559,0.3072130361849988,0.23963575365444525,3,folke2016
8871,83,109,5743.0,0.0,4.449999999999998,5.5,4.449999999999998,0.5443565181174511,0.3377759266972095,0.11786755518533945,3,folke2016
8873,83,111,3388.0,2.0,7.0,9.1,4.0,0.3131241084165478,0.2763908701854493,0.4104850213980029,3,folke2016
8875,83,113,4800.0,1.0,5.5,5.65,5.65,0.34253450439146804,0.42534504391468,0.23212045169385195,3,folke2016
8877,83,115,5009.0,1.0,3.4,4.9,5.2,0.24251886546968515,0.5789747593026282,0.1785063752276867,3,folke2016
8879,83,117,6627.0,1.0,4.6,5.5,7.0,0.1242512408009584,0.5741913400650351,0.3015574191340065,3,folke2016
8881,83,119,5159.0,0.0,5.5,2.95,4.0,0.3352272727272727,0.1955492424242425,0.4692234848484849,3,folke2016
8883,83,121,4421.0,2.0,5.65,8.95,5.5,0.4837644468904788,0.2427077600440286,0.2735277930654926,3,folke2016
8885,83,123,10347.0,2.0,5.5,5.65,6.5500000000000025,0.4002724486320808,0.13849472130775342,0.4612328300601658,3,folke2016
8887,83,125,4085.0,1.0,4.6,10.0,4.0,0.1925814911952042,0.6463094792056949,0.16110902959910078,3,folke2016
8889,83,127,11521.0,1.0,6.6999999999999975,8.5,5.35,0.5183534903458519,0.4001697432633142,0.08147676639083386,3,folke2016
8891,83,129,6552.0,2.0,3.4,5.05,5.35,0.28084252758274825,0.3839518555667001,0.3352056168505517,3,folke2016
8893,83,131,9206.0,0.0,3.7,4.0,3.25,0.40974017140525104,0.2479934702761529,0.3422663583185961,3,folke2016
8895,83,133,5139.0,1.0,2.5,4.0,4.0,0.3016330451488953,0.3275696445725264,0.3707973102785783,3,folke2016
8897,83,135,10636.0,0.0,7.4499999999999975,5.05,3.7,0.4337010599178023,0.11572571922993727,0.4505732208522604,3,folke2016
8899,83,137,5552.0,1.0,4.0,4.0,3.7,0.36081474296799226,0.4903006789524733,0.14888457807953442,3,folke2016
8901,83,139,8244.0,1.0,6.4,8.5,7.0,0.4704461265904332,0.3388629408922532,0.1906909325173136,3,folke2016
8903,83,141,5968.0,2.0,4.449999999999998,4.449999999999998,5.5,0.2282765737874097,0.2848297213622291,0.4868937048503612,3,folke2016
8905,83,143,5757.0,2.0,3.25,6.4,5.5,0.3921916592724046,0.3722271517302573,0.2355811889973381,3,folke2016
8907,84,1,4492.0,2.0,3.4,3.1,2.8,0.25502072043353524,0.4029327382849857,0.3420465412814791,3,folke2016
8909,84,3,5782.0,2.0,5.95,4.9,7.0,0.28852781880846873,0.1344165435745938,0.5770556376169375,3,folke2016
8911,84,5,3941.0,2.0,4.300000000000002,4.15,4.0,0.3414985590778098,0.18948126801152732,0.4690201729106629,3,folke2016
8913,84,7,6238.0,2.0,2.5,4.75,4.0,0.13715359323626114,0.4668858619069986,0.39596054485674026,3,folke2016
8915,84,9,4792.0,2.0,4.300000000000002,1.0,4.449999999999998,0.3196570728720147,0.20514390691977955,0.4751990202082058,3,folke2016
8917,84,11,5207.0,0.0,2.8,1.0,2.95,0.5983866320944973,0.1947565543071161,0.20685681359838665,3,folke2016
8919,84,13,7679.0,2.0,1.0,3.25,3.1,0.15787476280834914,0.476280834914611,0.3658444022770399,3,folke2016
8921,84,15,5559.0,0.0,3.1,2.95,1.6,0.5292331055429005,0.2460136674259681,0.22475322703113126,3,folke2016
8923,84,17,6578.0,2.0,3.25,3.85,5.65,0.35535208197078705,0.18835840418574232,0.4562895138434706,3,folke2016
8925,84,19,6760.0,1.0,3.85,3.4,1.0,0.4737068965517242,0.3905172413793103,0.13577586206896552,3,folke2016
8927,84,21,5877.0,2.0,1.0,7.0,6.6999999999999975,0.1433531746031746,0.26686507936507936,0.5897817460317459,3,folke2016
8929,84,23,3332.0,0.0,4.75,4.0,4.0,0.3657984144960362,0.21744054360135895,0.4167610419026048,3,folke2016
8931,84,25,3965.0,2.0,2.95,2.2,5.65,0.2435643564356436,0.3584158415841584,0.3980198019801981,3,folke2016
8933,84,27,3435.0,2.0,3.25,2.5,3.25,0.3090507726269316,0.2763796909492274,0.4145695364238409,3,folke2016
8935,84,29,5284.0,0.0,5.8,2.5,3.85,0.5863337713534823,0.1287779237844941,0.2848883048620237,3,folke2016
8937,84,31,4711.0,1.0,4.0,3.85,2.5,0.26046642315257096,0.5782523180668727,0.16128125878055632,3,folke2016
8939,84,33,6014.0,2.0,1.0,1.0,2.5,0.3586305961216184,0.2537706487909983,0.3875987550873833,3,folke2016
8941,84,35,3113.0,1.0,3.7,5.2,3.4,0.2603036876355748,0.4544468546637744,0.28524945770065074,3,folke2016
8943,84,37,3353.0,1.0,3.85,4.0,3.55,0.2751937984496124,0.4903100775193798,0.2344961240310077,3,folke2016
8945,84,39,3297.0,1.0,2.5,3.25,2.95,0.247978436657682,0.42857142857142855,0.32345013477088946,3,folke2016
8947,84,41,4072.0,2.0,3.4,2.8,2.8,0.29062276306370793,0.21832498210450965,0.4910522548317824,3,folke2016
8949,84,43,4451.0,2.0,4.9,1.0,4.0,0.1894669235709698,0.2569043031470777,0.5536287732819525,3,folke2016
8951,84,45,6795.0,1.0,3.1,4.0,3.1,0.4679930795847751,0.3737024221453287,0.1583044982698962,3,folke2016
8953,84,47,2716.0,2.0,3.25,4.15,3.25,0.15769439912996194,0.3708537248504622,0.4714518760195758,3,folke2016
8955,84,49,4841.0,2.0,4.15,4.0,4.75,0.4365368450546371,0.17764079574110395,0.3858223592042589,3,folke2016
8957,84,51,6785.0,2.0,1.75,1.0,2.95,0.3238898935101467,0.31303998392605986,0.3630701225637935,3,folke2016
8959,84,53,2333.0,2.0,1.6,1.0,3.4,0.3128491620111732,0.3066418373680944,0.3805090006207325,3,folke2016
8961,84,55,6717.0,1.0,2.95,4.15,1.6,0.3560334528076464,0.4872162485065711,0.15675029868578255,3,folke2016
8963,84,57,3033.0,1.0,1.6,3.1,2.95,0.2638743455497382,0.4534031413612565,0.2827225130890053,3,folke2016
8965,84,59,4251.0,2.0,3.85,3.85,3.7,0.2428398547801533,0.18797902379991926,0.5691811214199274,3,folke2016
8967,84,61,2801.0,1.0,4.0,4.75,4.0,0.2571770334928229,0.4988038277511962,0.2440191387559809,3,folke2016
8969,84,63,4801.0,0.0,4.0,4.300000000000002,4.15,0.5252719129878439,0.3141394753678823,0.16058861164427382,3,folke2016
8971,84,65,3478.0,0.0,7.0,5.95,4.9,0.42953020134228187,0.32694151486097794,0.24352828379674016,3,folke2016
8973,84,67,3145.0,0.0,4.0,1.0,2.95,0.4512670565302144,0.2426900584795321,0.3060428849902534,3,folke2016
8975,84,69,3165.0,2.0,2.95,2.5,3.25,0.2479166666666667,0.2677083333333333,0.484375,3,folke2016
8977,84,71,4986.0,1.0,4.300000000000002,5.2,4.449999999999998,0.15937149270482606,0.5028058361391695,0.3378226711560045,3,folke2016
8979,84,73,3039.0,1.0,2.5,4.0,3.85,0.22739291380222104,0.5367530407191962,0.2358540454785828,3,folke2016
8981,84,75,4979.0,0.0,2.95,1.0,2.8,0.5335058958872592,0.11849295369571468,0.3480011504170262,3,folke2016
8983,84,77,2805.0,1.0,5.95,4.75,3.25,0.3900226757369615,0.2970521541950113,0.3129251700680272,3,folke2016
8985,84,79,3888.0,0.0,3.1,1.0,3.25,0.4705882352941176,0.12279411764705885,0.4066176470588235,3,folke2016
8987,84,81,2854.0,2.0,3.1,3.1,4.0,0.2562538133007932,0.31970713849908483,0.4240390482001221,3,folke2016
8989,84,83,4326.0,0.0,3.85,4.300000000000002,3.25,0.4659210066410346,0.29430269136665504,0.2397763019923104,3,folke2016
8991,84,85,2787.0,2.0,3.4,3.7,5.2,0.2465940054495913,0.2779291553133515,0.4754768392370573,3,folke2016
8993,84,87,5045.0,1.0,2.95,4.300000000000002,1.0,0.2973277074542897,0.5580872011251758,0.14458509142053447,3,folke2016
8995,84,89,5234.0,2.0,3.55,3.85,4.0,0.38245412844036697,0.2339449541284404,0.3836009174311927,3,folke2016
8997,84,91,4844.0,2.0,3.4,1.0,5.05,0.1989961617950989,0.19013876586950104,0.6108650723354001,3,folke2016
8999,84,93,4216.0,0.0,2.8,3.4,3.1,0.5498575498575499,0.14387464387464388,0.30626780626780625,3,folke2016
9001,84,95,2881.0,0.0,3.4,1.6,1.0,0.3642857142857143,0.3612244897959184,0.27448979591836736,3,folke2016
9003,84,97,2610.0,1.0,4.15,4.0,4.300000000000002,0.23806717737183264,0.4119033588685917,0.3500294637595757,3,folke2016
9005,84,99,2989.0,2.0,4.15,1.75,3.85,0.2302973100519113,0.27465785747994337,0.4950448324681454,3,folke2016
9007,84,101,2427.0,2.0,3.85,5.8,5.65,0.2308892355694228,0.24752990119604784,0.5215808632345293,3,folke2016
9009,84,103,3729.0,1.0,3.85,3.7,5.65,0.3978142076502732,0.3311475409836065,0.2710382513661202,3,folke2016
9011,84,105,1994.0,2.0,2.95,1.6,3.1,0.2404624277456648,0.3132947976878613,0.4462427745664741,3,folke2016
9013,84,107,2846.0,0.0,2.8,1.0,3.7,0.4476744186046512,0.2277131782945737,0.3246124031007752,3,folke2016
9015,84,109,2908.0,1.0,1.0,4.0,4.9,0.20125786163522014,0.4378326076439284,0.36090953072085147,3,folke2016
9017,84,111,2702.0,2.0,1.6,2.95,4.15,0.2116609505144537,0.2616364527192553,0.526702596766291,3,folke2016
9019,84,113,2234.0,0.0,3.4,1.0,3.85,0.5150850246845858,0.2095447065277016,0.2753702687877125,3,folke2016
9021,84,115,3024.0,1.0,4.0,3.55,3.85,0.18235007313505608,0.4275962944904925,0.3900536323744515,3,folke2016
9023,84,117,2524.0,1.0,7.0,6.6999999999999975,1.0,0.20265379975874548,0.5199034981905911,0.27744270205066346,3,folke2016
9025,84,119,2895.0,2.0,2.5,3.85,5.8,0.18952618453865336,0.1885286783042394,0.6219451371571072,3,folke2016
9027,84,121,2743.0,0.0,3.4,2.8,2.2,0.5245623941276115,0.1976284584980237,0.27780914737436474,3,folke2016
9029,84,123,2446.0,0.0,4.0,3.1,3.1,0.4213317619328226,0.24749558043606365,0.3311726576311137,3,folke2016
9031,84,125,3600.0,1.0,3.25,3.1,1.0,0.3474452554744525,0.4481751824817518,0.2043795620437956,3,folke2016
9033,84,127,2826.0,2.0,3.85,2.5,4.0,0.2383202099737533,0.28976377952755905,0.4719160104986877,3,folke2016
9035,84,129,2948.0,1.0,3.1,2.8,3.4,0.371900826446281,0.3233471074380165,0.3047520661157025,3,folke2016
9037,84,131,3666.0,2.0,4.449999999999998,4.300000000000002,5.2,0.29935336629897297,0.21605173069608216,0.4845949030049448,3,folke2016
9039,84,133,3487.0,0.0,3.85,5.65,3.25,0.5305667112896029,0.15528781793842036,0.3141454707719768,3,folke2016
9041,84,135,2515.0,1.0,2.2,5.65,2.95,0.2540389972144847,0.4540389972144847,0.29192200557103065,3,folke2016
9043,84,137,3625.0,0.0,5.05,3.4,1.0,0.5250659630606861,0.2576956904133685,0.21723834652594548,3,folke2016
9045,84,139,2838.0,1.0,4.9,7.0,5.95,0.22851153039832284,0.4475890985324947,0.3238993710691824,3,folke2016
9047,84,141,2786.0,1.0,2.5,3.25,3.25,0.22271714922049,0.4821826280623608,0.2951002227171492,3,folke2016
9049,84,143,3631.0,2.0,5.2,4.0,4.300000000000002,0.15659635323560958,0.13800500536288882,0.7053986414015017,3,folke2016
9051,85,1,5698.0,0.0,2.5,3.25,3.55,0.6545693047660691,0.17446436379536512,0.1709663314385658,3,folke2016
9053,85,3,4187.0,1.0,2.2,3.85,2.2,0.4503392967304133,0.3818630475015423,0.16779765576804442,3,folke2016
9055,85,5,3358.0,2.0,2.6500000000000004,3.25,4.0,0.27424982554082344,0.2526168876482903,0.4731332868108862,3,folke2016
9057,85,7,3578.0,2.0,2.2,1.45,3.7,0.20583717357910905,0.2565284178187404,0.5376344086021505,3,folke2016
9059,85,9,3340.0,1.0,3.1,4.0,2.05,0.3333333333333333,0.5030581039755352,0.1636085626911315,3,folke2016
9061,85,11,7112.0,2.0,2.35,1.6,1.75,0.25930413709537825,0.26120823957071143,0.4794876233339103,3,folke2016
9063,85,13,6001.0,2.0,1.9,1.6,1.6,0.3730776912322748,0.14639504693429198,0.4805272618334332,3,folke2016
9065,85,15,6328.0,1.0,1.45,3.55,2.2,0.3824324324324324,0.2936293436293436,0.3239382239382239,3,folke2016
9067,85,17,5167.0,0.0,3.1,3.1,2.5,0.6181292189006751,0.2304725168756027,0.15139826422372227,3,folke2016
9069,85,19,9306.0,1.0,1.6,1.6,2.05,0.0957405739287093,0.6075151203191352,0.29674430575215544,3,folke2016
9071,85,21,5060.0,0.0,3.4,2.95,2.8,0.4992846924177397,0.2699093943729137,0.2308059132093467,3,folke2016
9073,85,23,10896.0,0.0,3.55,3.1,3.55,0.677426819391415,0.2001619807937059,0.1224111998148791,3,folke2016
9075,85,25,6769.0,1.0,2.6500000000000004,3.55,3.1,0.3221750212404418,0.448768054375531,0.2290569243840272,3,folke2016
9077,85,27,6347.0,2.0,3.25,2.35,3.1,0.17749852739053604,0.4995091301786766,0.3229923424307873,3,folke2016
9079,85,29,4693.0,1.0,1.6,3.7,1.6,0.3086763070077864,0.4582869855394883,0.2330367074527253,3,folke2016
9081,85,31,9005.0,0.0,2.2,1.45,2.2,0.501899646272763,0.3985326870169003,0.09956766671033668,3,folke2016
9083,85,33,7597.0,0.0,2.6500000000000004,1.75,2.8,0.5623552762156798,0.27753886867350314,0.16010585511081707,3,folke2016
9085,85,35,5823.0,0.0,3.85,4.0,3.85,0.3749718151071026,0.1375422773393461,0.4874859075535513,3,folke2016
9087,85,37,4947.0,0.0,2.5,1.6,2.35,0.5343283582089552,0.2502487562189055,0.2154228855721393,3,folke2016
9089,85,39,4339.0,0.0,4.0,2.95,3.1,0.4699861687413554,0.2644536652835408,0.2655601659751037,3,folke2016
9091,85,41,5077.0,1.0,2.05,1.45,2.05,0.267609126984127,0.3479662698412698,0.3844246031746032,3,folke2016
9093,85,43,3243.0,0.0,3.7,2.2,2.95,0.3317384370015949,0.3859649122807017,0.2822966507177033,3,folke2016
9095,85,45,4376.0,1.0,2.2,2.05,2.2,0.1537097250960686,0.5956251847472658,0.2506650901566657,3,folke2016
9097,85,47,6352.0,1.0,1.45,3.1,2.05,0.4109641556450067,0.4245735096798927,0.16446233467510066,3,folke2016
9099,85,49,3503.0,1.0,2.05,3.55,2.2,0.403125,0.39140625,0.20546875,3,folke2016
9101,85,51,5588.0,0.0,2.2,1.6,2.35,0.3829696191698759,0.16302952503209242,0.4540008557980317,3,folke2016
9103,85,53,3978.0,2.0,2.35,1.75,2.6500000000000004,0.4630269523151347,0.1976503109882516,0.3393227366966137,3,folke2016
9105,85,55,3637.0,1.0,1.45,1.45,2.2,0.39351510685335295,0.3949889462048637,0.21149594694178334,3,folke2016
9107,85,57,7341.0,1.0,1.6,1.9,1.6,0.32689158205044216,0.3927284638060924,0.28037995414346545,3,folke2016
9109,85,59,8167.0,1.0,1.45,3.55,2.05,0.2526164874551972,0.6642293906810036,0.08315412186379928,3,folke2016
9111,85,61,3085.0,0.0,3.7,2.2,1.45,0.3993639254884144,0.22171740118128125,0.3789186733303044,3,folke2016
9113,85,63,4827.0,2.0,3.1,2.6500000000000004,3.55,0.3715258082813386,0.25694838343732274,0.3715258082813386,3,folke2016
9115,85,65,4326.0,1.0,2.35,2.5,1.6,0.32197078201088514,0.38756803208249785,0.290461185906617,3,folke2016
9117,85,67,4322.0,0.0,2.35,2.35,2.35,0.5568797399783315,0.29469122426868904,0.14842903575297942,3,folke2016
9119,85,69,3414.0,2.0,1.6,3.1,4.0,0.254660569820612,0.3897291593387267,0.3556102708406613,3,folke2016
9121,85,71,4955.0,0.0,2.05,1.75,1.45,0.4776240846216436,0.1784648765934364,0.34391103878491996,3,folke2016
9123,85,73,4673.0,2.0,2.2,2.2,2.05,0.3451109285127362,0.2678718159408381,0.3870172555464256,3,folke2016
9125,85,75,4200.0,2.0,2.35,1.45,3.1,0.381199538638985,0.3728373702422145,0.2459630911188005,3,folke2016
9127,85,77,3345.0,1.0,3.55,2.5,3.25,0.2727943890734588,0.5500184569952011,0.17718715393134,3,folke2016
9129,85,79,2899.0,1.0,2.95,3.7,2.2,0.27292672224659936,0.4637999122422115,0.26327336551118913,3,folke2016
9131,85,81,3484.0,2.0,2.6500000000000004,3.1,3.7,0.4157679434734102,0.1918928969877277,0.3923391595388621,3,folke2016
9133,85,83,5077.0,0.0,1.75,2.35,1.6,0.4095436645818856,0.4510076441973593,0.13944869122075515,3,folke2016
9135,85,85,3235.0,2.0,2.05,2.05,1.45,0.34019103600293904,0.2329169728141073,0.4268919911829537,3,folke2016
9137,85,87,2666.0,2.0,1.6,1.6,3.7,0.2792122538293217,0.3177242888402626,0.40306345733041576,3,folke2016
9139,85,89,9417.0,0.0,4.0,1.9,2.95,0.3644884144753969,0.3772455089820359,0.25826607654256706,3,folke2016
9141,85,91,4417.0,0.0,3.1,3.25,2.35,0.6668558456299659,0.16004540295119182,0.17309875141884226,3,folke2016
9143,85,93,5111.0,1.0,2.8,3.4,2.95,0.3444227005870841,0.42710371819960863,0.22847358121330724,3,folke2016
9145,85,95,8346.0,2.0,3.55,3.55,3.1,0.22740696987595985,0.2043709391612522,0.568222090962788,3,folke2016
9147,85,97,4155.0,2.0,2.2,1.45,1.45,0.3833703586163123,0.2856236115518883,0.33100602983179944,3,folke2016
9149,85,99,2777.0,0.0,3.1,2.5,3.1,0.5845572807385648,0.18044481745698696,0.23499790180444816,3,folke2016
9151,85,101,3899.0,0.0,3.1,2.35,1.45,0.5643631436314364,0.2872628726287263,0.1483739837398374,3,folke2016
9153,85,103,4157.0,1.0,2.95,2.8,3.4,0.23924268502581755,0.5215146299483648,0.23924268502581755,3,folke2016
9155,85,105,3042.0,2.0,3.4,2.2,3.1,0.2535885167464115,0.3903508771929825,0.3560606060606061,3,folke2016
9157,85,107,7720.0,2.0,2.05,1.45,3.55,0.2669880970317915,0.2190748832303752,0.5139370197378333,3,folke2016
9159,85,109,3147.0,0.0,2.05,3.1,2.35,0.4868162140889414,0.24557260920897284,0.2676111767020858,3,folke2016
9161,85,111,5201.0,0.0,3.1,2.05,1.45,0.3878362573099415,0.3730994152046784,0.2390643274853801,3,folke2016
9163,85,113,10198.0,2.0,2.35,2.05,2.2,0.3961774421897121,0.2697026899480887,0.3341198678621992,3,folke2016
9165,85,115,3434.0,0.0,2.8,3.4,1.6,0.5574210879785091,0.2498321020819341,0.1927468099395568,3,folke2016
9167,85,117,3573.0,0.0,3.55,2.2,1.45,0.4565891472868217,0.1968992248062016,0.3465116279069768,3,folke2016
9169,85,119,4215.0,0.0,3.7,1.6,1.6,0.5670281995661606,0.19175704989154013,0.2412147505422993,3,folke2016
9171,85,121,4424.0,2.0,4.0,3.85,3.85,0.5395894428152492,0.16480938416422286,0.29560117302052785,3,folke2016
9173,85,123,3025.0,2.0,3.25,1.45,3.55,0.2352941176470588,0.4133545310015898,0.35135135135135137,3,folke2016
9175,85,125,3524.0,1.0,2.35,3.1,3.25,0.4105065666041276,0.4153846153846154,0.17410881801125705,3,folke2016
9177,85,127,5810.0,0.0,1.6,2.05,1.6,0.5995735607675906,0.28827292110874203,0.11215351812366738,3,folke2016
9179,85,129,5870.0,2.0,1.45,2.2,2.2,0.31179775280898875,0.11276083467094702,0.5754414125200642,3,folke2016
9181,85,131,9464.0,1.0,3.1,3.55,3.55,0.32166908754786744,0.3416083454377393,0.33672256701439324,3,folke2016
9183,85,133,3347.0,2.0,2.2,2.95,3.7,0.4511092851273624,0.2415776499589153,0.3073130649137223,3,folke2016
9185,85,135,6193.0,1.0,1.45,2.05,1.75,0.24600445073841795,0.5164879627756424,0.2375075864859397,3,folke2016
9187,85,137,4698.0,2.0,2.2,2.05,3.55,0.5672978505629478,0.24104401228249744,0.1916581371545548,3,folke2016
9189,85,139,2994.0,0.0,3.7,2.6500000000000004,3.1,0.3938109368376431,0.34760491733785503,0.2585841458245019,3,folke2016
9191,85,141,3221.0,2.0,1.6,2.35,2.5,0.3439539347408829,0.30863723608445304,0.3474088291746641,3,folke2016
9193,85,143,4454.0,2.0,2.2,2.35,1.45,0.4029086991650956,0.31457042822515485,0.2825208726097495,3,folke2016
9195,86,1,8709.0,0.0,2.05,2.35,2.6500000000000004,0.4554862677457874,0.32559373756136395,0.21891999469284865,3,folke2016
9197,86,3,8065.0,0.0,2.35,2.35,2.6500000000000004,0.4765691564896336,0.3564328315819369,0.16699801192842942,3,folke2016
9199,86,5,4612.0,0.0,2.35,2.2,1.9,0.4470021413276231,0.24143468950749464,0.31156316916488225,3,folke2016
9201,86,7,4407.0,0.0,5.5,1.9,1.6,0.43322475570032576,0.2920738327904452,0.2747014115092291,3,folke2016
9203,86,9,4101.0,2.0,2.05,4.0,3.85,0.2339035769828927,0.2581648522550544,0.5079315707620529,3,folke2016
9205,86,11,3996.0,1.0,2.35,4.0,3.1,0.14710836608646827,0.6956765861875351,0.15721504772599662,3,folke2016
9207,86,13,8559.0,0.0,1.9,2.2,2.5,0.4780575044710414,0.2644105103865731,0.25753198514238546,3,folke2016
9209,86,15,4595.0,1.0,3.7,4.6,2.05,0.4108365584995534,0.4813932718070855,0.10777016969336113,3,folke2016
9211,86,17,6118.0,0.0,4.0,2.5,2.8,0.5089268573622576,0.11556920714148587,0.3755039354962565,3,folke2016
9213,86,19,8662.0,0.0,2.35,2.35,2.2,0.6580603725112396,0.19319203596660245,0.14874759152215802,3,folke2016
9215,86,21,3840.0,0.0,5.5,3.4,3.85,0.4041450777202073,0.2700777202072539,0.32577720207253885,3,folke2016
9217,86,23,3522.0,1.0,2.5,3.4,2.2,0.15587114651887773,0.32732940768964325,0.5167994457914791,3,folke2016
9219,86,25,4321.0,0.0,5.5,2.5,3.4,0.3561915556814962,0.3581751204307169,0.2856333238877869,3,folke2016
9221,86,27,5162.0,2.0,2.05,2.8,2.8,0.1005859375,0.453125,0.4462890625,3,folke2016
9223,86,29,3919.0,2.0,3.55,2.95,3.85,0.2645141260478112,0.24153989444271964,0.4939459795094691,3,folke2016
9225,86,31,3177.0,0.0,4.0,2.2,2.5,0.490983606557377,0.3172131147540984,0.1918032786885246,3,folke2016
9227,86,33,9371.0,1.0,2.2,2.2,2.05,0.13765783609804408,0.3542956177271602,0.5080465461747957,3,folke2016
9229,86,35,9671.0,0.0,2.5,3.55,2.8,0.5216056670602125,0.15206611570247933,0.3263282172373081,3,folke2016
9231,86,37,5025.0,1.0,2.5,2.35,2.35,0.11220958971824024,0.6905585763717251,0.1972318339100346,3,folke2016
9233,86,39,3591.0,0.0,3.7,4.0,3.4,0.5197591268347761,0.16936394429808055,0.3108769288671434,3,folke2016
9235,86,41,4447.0,0.0,4.0,2.35,2.95,0.4092945128779396,0.36058230683090703,0.23012318029115345,3,folke2016
9237,86,43,9197.0,2.0,3.85,2.8,3.4,0.2128445206382698,0.25847289990768824,0.5286825794540421,3,folke2016
9239,86,45,4901.0,1.0,2.2,2.35,1.45,0.400203925567168,0.4565383634973234,0.14325771093550854,3,folke2016
9241,86,47,5374.0,2.0,1.3,2.05,2.5,0.1279811097992916,0.4207792207792208,0.4512396694214876,3,folke2016
9243,86,49,4147.0,0.0,2.5,2.2,2.5,0.29814077025232405,0.2337317397078353,0.4681274900398406,3,folke2016
9245,86,51,3070.0,1.0,1.6,5.5,1.9,0.16355696705041686,0.6069868995633187,0.2294561333862644,3,folke2016
9247,86,53,5098.0,2.0,2.6500000000000004,2.8,3.7,0.3498172959805116,0.3483556638246041,0.3018270401948843,3,folke2016
9249,86,55,6019.0,1.0,5.95,5.5,3.55,0.11058263971462544,0.7661514070550931,0.12326595323028144,3,folke2016
9251,86,57,2460.0,0.0,3.85,2.05,4.0,0.4822657490735839,0.2583377448385389,0.2593965060878772,3,folke2016
9253,86,59,4283.0,2.0,2.35,2.5,2.35,0.12851182197496522,0.2809457579972184,0.5905424200278164,3,folke2016
9255,86,61,5387.0,2.0,3.1,2.35,4.0,0.3045032165832738,0.21777460090540865,0.4777221825113176,3,folke2016
9257,86,63,2936.0,2.0,1.0,2.5,4.0,0.3254437869822485,0.21386306001690614,0.4606931530008453,3,folke2016
9259,86,65,3402.0,2.0,2.05,2.2,2.2,0.2521489971346705,0.2270773638968481,0.5207736389684814,3,folke2016
9261,86,67,5777.0,1.0,2.35,3.55,3.1,0.07789428632570082,0.7598972822597903,0.16220843141450889,3,folke2016
9263,86,69,4752.0,0.0,3.4,3.85,2.8,0.5180722891566265,0.275826711099718,0.20610099974365548,3,folke2016
9265,86,71,2901.0,1.0,2.35,4.15,1.45,0.21747042766151045,0.5805277525022748,0.2020018198362148,3,folke2016
9267,86,73,3272.0,1.0,2.95,4.0,2.35,0.15453863465866466,0.6159039759939985,0.22955738934733685,3,folke2016
9269,86,75,4923.0,2.0,2.35,2.35,2.35,0.2864851606573461,0.2850134903115036,0.4285013490311504,3,folke2016
9271,86,77,2249.0,1.0,2.8,4.15,2.8,0.21876799078871612,0.5267702936096719,0.254461715601612,3,folke2016
9273,86,79,3176.0,2.0,2.2,2.5,3.4,0.20637450199203186,0.3338645418326693,0.4597609561752988,3,folke2016
9275,86,81,5685.0,1.0,2.2,2.35,2.35,0.3453796889295517,0.515096065873742,0.1395242451967063,3,folke2016
9277,86,83,3533.0,2.0,2.35,2.2,3.4,0.1711777615215801,0.3247988295537674,0.5040234089246525,3,folke2016
9279,86,85,5839.0,0.0,2.8,2.05,2.8,0.491559894244458,0.12161887329672565,0.3868212324588163,3,folke2016
9281,86,87,7294.0,1.0,2.6500000000000004,2.05,2.35,0.1645045542368203,0.7118410157328181,0.12365443003036156,3,folke2016
9283,86,89,3464.0,0.0,4.0,4.0,2.8,0.372168284789644,0.3516720604099245,0.2761596548004315,3,folke2016
9285,86,91,3006.0,1.0,3.85,5.5,3.4,0.20131470829909606,0.5965488907148726,0.2021364009860312,3,folke2016
9287,86,93,3345.0,2.0,2.05,3.7,4.6,0.16607015032211886,0.19327129563350035,0.6406585540443808,3,folke2016
